GREEN,RED,BLUE,YELLOW,PINK,ORANGE,BROWN,PURPLE
Harlem/Lake,howard,o’hare,Dempster-skokie,washington/wells,adams/wabash,kimball,Linden
oakpark,jarvis,rosemont,Oakton-skokie,quincy/wells,washington/wabash,kedzie,central
ridgeland,morse,cumberland,howard,lasalle/van buren,state/lake,francisco,noyes
austin,loyola,harlem(o’harebranch),null,Harold Washington Library-State/Van Buren,clark/lake,rockwell,foster
central,granville,jeffersonpark,null,adams/wabash,washington/wells,western,davis
laramie,thorndale,montrose,null,washington/wabash,quincy/wells,damen,dempster
cicero,brynmawr,irvingpark,null,state/lake,lasalle/van buren,montrose,main
pulaski,berwyn,addison,null,clark/lake,Harold Washington Library-State/Van Buren,irving park,south boulevard
Conservatory,argyle,belmont,null,clinton,roosevelt,addison,howard
kedzie,lawrence,logansquare,null,morgan,halsted,paulina,wilson
california,wilson,california,null,ashland,ashland,southport,belmont
ashland,sheridan,western(o’harebranch),null,polk,35th/archer,belmont,wellington
morgan,addison,damen,null,18th,western,wellington,diversey
clinton,belmont,division,null,damen,kedzie,diversey,fullerton
clark/lake,fullerton,chicago,null,western,pulaski,fullerton,armitage
state/lake,north/clybourn,grand,null,california,midway,armitage,sedgwick
Washington/Wabash,clark/division,clark/lake,null,kedzie,null,sedgwick,chicago
adams/wabash,chicago,washington,null,central park,null,chicago,merchandise mart
roosevelt,grand,monroe,null,pulaski,null,merchandise mart,clark/lake
Cermak-McCormickPlace,lake,jackson,null,kostner,null,washington/wells,state/lake
35th-Bronzeville-IIT,monroe,lasalle,null,cicero,null,quincy/wells,washington/wabash
Indiana,jackson,clinton,null,54th/cermak,null,lasalle/van buren,adams/wabash
43rd,harrison,uic-halsted,null,null,null,Harold Washington Library-State/Van Buren,Harold Washington Library-State/Van Buren
47th,roosevelt,racine,null,null,null,adams/wabash,lasalle/van buren
51st,cermak-chinatown,illinoismedicaldistrict,null,null,null,washington/wabash,quincy/wells
garfield,sox-35th,western(forestparkbranch),null,null,null,state/lake,washington/wells
king Drive,47th,Kedzie-homan,null,null,null,clark/lake,null
Cottage Grove,garfield,pulaski,null,null,null,null,null
Halsted,63rd,cicero,null,null,null,null,null
Ashland/63rd,69th,austin,null,null,null,null,null
null,79th,oakpark,null,null,null,null,null
null,87th,harlem(forestparkbranch),null,null,null,null,null
null,95th/danryan,forestpark,null,null,null,null,null
