STATION_NAME,RED,BLUE,G,BRN,P,Y,Pnk,O,Latitude,Longitude
18th,false,false,false,false,false,false,true,false,"(41.857908,",-87.669147)
18th,false,false,false,false,false,false,true,false,"(41.857908,",-87.669147)
35th/Archer,false,false,false,false,false,false,false,true,"(41.829353,",-87.680622)
35th/Archer,false,false,false,false,false,false,false,true,"(41.829353,",-87.680622)
35th-Bronzeville-IIT,false,false,true,false,false,false,false,false,"(41.831677,",-87.625826)
35th-Bronzeville-IIT,false,false,true,false,false,false,false,false,"(41.831677,",-87.625826)
43rd,false,false,true,false,false,false,false,false,"(41.816462,",-87.619021)
43rd,false,false,true,false,false,false,false,false,"(41.816462,",-87.619021)
51st,false,false,true,false,false,false,false,false,"(41.80209,",-87.618487)
51st,false,false,true,false,false,false,false,false,"(41.80209,",-87.618487)
54th/Cermak,false,false,false,false,false,false,true,false,"(41.85177331,",-87.75669201)
54th/Cermak,false,false,false,false,false,false,true,false,"(41.85177331,",-87.75669201)
69th,true,false,false,false,false,false,false,false,"(41.768367,",-87.625724)
69th,true,false,false,false,false,false,false,false,"(41.768367,",-87.625724)
79th,true,false,false,false,false,false,false,false,"(41.750419,",-87.625112)
79th,true,false,false,false,false,false,false,false,"(41.750419,",-87.625112)
95th/DanRyan,true,false,false,false,false,false,false,false,"(41.722377,",-87.624342)
95th/RanRyan,true,false,false,false,false,false,false,false,"(41.722377,",-87.624342)
Adams/Wabash,false,false,true,false,false,false,true,true,"(41.879507,",-87.626037)
Adams/Wabash,false,false,true,true,false,false,false,false,"(41.879507,",-87.626037)
Addison,false,false,false,true,false,false,false,false,"(41.947028,",-87.674642)
Addison,false,false,false,true,false,false,false,false,"(41.947028,",-87.674642)
Addison,true,false,false,false,false,false,false,false,"(41.947428,",-87.653626)
Addison,true,false,false,false,false,false,false,false,"(41.947428,",-87.653626)
Argyle,true,false,false,false,false,false,false,false,"(41.973453,",-87.65853)
Argyle,true,false,false,false,false,false,false,false,"(41.973453,",-87.65853)
87th,true,false,false,false,false,false,false,false,"(41.735372,",-87.624717)
Armitage,false,false,false,true,false,false,false,false,"(41.918217,",-87.652644)
Armitage,false,false,false,true,false,false,false,false,"(41.918217,",-87.652644)
Ashland,false,false,false,false,false,false,false,true,"(41.839234,",-87.665317)
Ashland,false,false,false,false,false,false,false,true,"(41.839234,",-87.665317)
Ashland/63rd,false,false,true,false,false,false,false,false,"(41.77886,",-87.663766)
Ashland/63rd,false,false,true,false,false,false,false,false,"(41.77886,",-87.663766)
Austin,false,true,false,false,false,false,false,false,"(41.870851,",-87.776812)
Austin,false,true,false,false,false,false,false,false,"(41.870851,",-87.776812)
Austin,false,false,true,false,false,false,false,false,"(41.887293,",-87.774135)
Austin,false,false,true,false,false,false,false,false,"(41.887293,",-87.774135)
Belmont,false,true,false,false,false,false,false,false,"(41.938132,",-87.712359)
Belmont,false,true,false,false,false,false,false,false,"(41.938132,",-87.712359)
Belmont,true,false,false,false,false,false,false,false,"(41.939751,",-87.65338)
Belmont,true,false,false,false,false,false,false,false,"(41.939751,",-87.65338)
Belmont,false,false,false,true,false,false,false,false,"(41.939751,",-87.65338)
Belmont,false,false,false,true,false,false,false,false,"(41.939751,",-87.65338)
Berwyn,true,false,false,false,false,false,false,false,"(41.977984,",-87.658668)
Berwyn,true,false,false,false,false,false,false,false,"(41.977984,",-87.658668)
BrynMawr,true,false,false,false,false,false,false,false,"(41.983504,",-87.65884)
BrynMawr,true,false,false,false,false,false,false,false,"(41.983504,",-87.65884)
California,false,false,false,false,false,false,true,false,"(41.854109,",-87.694774)
California,false,false,false,false,false,false,true,false,"(41.854109,",-87.694774)
California,false,false,true,false,false,false,false,false,"(41.88422,",-87.696234)
California,false,false,true,false,false,false,false,false,"(41.88422,",-87.696234)
Central,false,false,true,false,false,false,false,false,"(41.887389,",-87.76565)
Central,false,false,true,false,false,false,false,false,"(41.887389,",-87.76565)
Central Park,false,false,false,false,false,false,true,false,"(41.853839,",-87.714842)
Central Park,false,false,false,false,false,false,true,false,"(41.853839,",-87.714842)
Cermak-Chinatown,true,false,false,false,false,false,false,false,"(41.853206,",-87.630968)
Cermak-Chinatown,true,false,false,false,false,false,false,false,"(41.853206,",-87.630968)
Central,false,false,false,false,true,false,false,false,"(42.063987,",-87.685617)
Central,false,false,false,false,true,false,false,false,"(42.063987,",-87.685617)
Cicero,false,false,false,false,false,false,true,false,"(41.85182,",-87.745336)
Cicero,false,false,false,false,false,false,true,false,"(41.85182,",-87.745336)
Cicero,false,true,false,false,false,false,false,false,"(41.871574,",-87.745154)
Cicero,false,true,false,false,false,false,false,false,"(41.871574,",-87.745154)
Cicero,false,false,true,false,false,false,false,false,"(41.886519,",-87.744698)
Cicero,false,false,true,false,false,false,false,false,"(41.886519,",-87.744698)
Clark/Lake,false,false,true,false,false,false,true,true,"(41.885737,",-87.630886)
Clark/Lake,false,false,true,true,false,false,false,false,"(41.885737,",-87.630886)
Clark/Lake,false,true,false,false,false,false,false,false,"(41.885737,",-87.630886)
Clark/Lake,false,true,false,false,false,false,false,false,"(41.885737,",-87.630886)
Clinton,false,true,false,false,false,false,false,false,"(41.875539,",-87.640984)
Clinton,false,true,false,false,false,false,false,false,"(41.875539,",-87.640984)
Clinton,false,false,true,false,false,false,true,false,"(41.885678,",-87.641782)
Clinton,false,false,true,false,false,false,true,false,"(41.885678,",-87.641782)
Conservatory,false,false,true,false,false,false,false,false,"(41.884904,",-87.716523)
Conservatory,false,false,true,false,false,false,false,false,"(41.884904,",-87.716523)
Cottage Grove,false,false,true,false,false,false,false,false,"(41.780309,",-87.605857)
Cumberland,false,true,false,false,false,false,false,false,"(41.984246,",-87.838028)
Cumberland,false,true,false,false,false,false,false,false,"(41.984246,",-87.838028)
Damen,false,false,false,false,false,false,true,false,"(41.854517,",-87.675975)
Damen,false,false,false,false,false,false,true,false,"(41.854517,",-87.675975)
Damen,false,true,false,false,false,false,false,false,"(41.909744,",-87.677437)
Damen,false,true,false,false,false,false,false,false,"(41.909744,",-87.677437)
Damen,false,false,false,true,false,false,false,false,"(41.966286,",-87.678639)
Damen,false,false,false,true,false,false,false,false,"(41.966286,",-87.678639)
Davis,false,false,false,false,true,false,false,false,"(42.04771,",-87.683543)
Davis,false,false,false,false,true,false,false,false,"(42.04771,",-87.683543)
Dempster,false,false,false,false,true,false,false,false,"(42.041655,",-87.681602)
Dempster,false,false,false,false,true,false,false,false,"(42.041655,",-87.681602)
Diversey,false,false,false,true,false,false,false,false,"(41.932732,",-87.653131)
Diversey,false,false,false,true,false,false,false,false,"(41.932732,",-87.653131)
Division,false,true,false,false,false,false,false,false,"(41.903355,",-87.666496)
ForestPark,false,true,false,false,false,false,false,false,"(41.874257,",-87.817318)
ForestPark,false,true,false,false,false,false,false,false,"(41.874257,",-87.817318)
Foster,false,false,false,false,true,false,false,false,"(42.05416,",-87.68356)
Foster,false,false,false,false,true,false,false,false,"(42.05416,",-87.68356)
Francisco,false,false,false,true,false,false,false,false,"(41.966046,",-87.701644)
Francisco,false,false,false,true,false,false,false,false,"(41.966046,",-87.701644)
Fullerton,true,false,false,false,false,false,false,false,"(41.925051,",-87.652866)
Fullerton,true,false,false,false,false,false,false,false,"(41.925051,",-87.652866)
Fullerton,false,false,false,true,false,false,false,false,"(41.925051,",-87.652866)
Fullerton,false,false,false,true,false,false,false,false,"(41.925051,",-87.652866)
Garfield,false,false,true,false,false,false,false,false,"(41.795172,",-87.618327)
Garfield,false,false,true,false,false,false,false,false,"(41.795172,",-87.618327)
Grand,false,true,false,false,false,false,false,false,"(41.891189,",-87.647578)
Grand,false,true,false,false,false,false,false,false,"(41.891189,",-87.647578)
Grand,true,false,false,false,false,false,false,false,"(41.891665,",-87.628021)
Grand,true,false,false,false,false,false,false,false,"(41.891665,",-87.628021)
Granville,true,false,false,false,false,false,false,false,"(41.993664,",-87.659202)
Granville,true,false,false,false,false,false,false,false,"(41.993664,",-87.659202)
Halsted,false,false,false,false,false,false,false,true,"(41.84678,",-87.648088)
Halsted,false,false,false,false,false,false,false,true,"(41.84678,",-87.648088)
Halsted,false,false,true,false,false,false,false,false,"(41.778943,",-87.644244)
Halsted,false,false,true,false,false,false,false,false,"(41.778943,",-87.644244)
Harlem,false,true,false,false,false,false,false,false,"(41.98227,",-87.8089)
Harlem,false,true,false,false,false,false,false,false,"(41.98227,",-87.8089)
Harlem/Lake,false,false,true,false,false,false,false,false,"(41.886848,",-87.803176)
Harlem/Lake,false,false,true,false,false,false,false,false,"(41.886848,",-87.803176)
Harrison,true,false,false,false,false,false,false,false,"(41.874039,",-87.627479)
Harrison,true,false,false,false,false,false,false,false,"(41.874039,",-87.627479)
Division,false,true,false,false,false,false,false,false,"(41.903355,",-87.666496)
Garfield,true,false,false,false,false,false,false,false,"(41.79542,",-87.631157)
Harlem,false,true,false,false,false,false,false,false,"(41.87349,",-87.806961)
HaroldWashingtonLibrary-State/VanBuren,false,false,false,false,false,false,true,true,"(41.876862,",-87.628196)
Howard,false,false,false,false,true,true,false,false,"(42.019063,",-87.672892)
Howard,true,false,false,false,false,false,false,false,"(42.019063,",-87.672892)
Howard,true,false,false,false,false,false,false,false,"(42.019063,",-87.672892)
IllinoisMedicalDistrict,false,true,false,false,false,false,false,false,"(41.875706,",-87.673932)
IllinoisMedicalDistrict,false,true,false,false,false,false,false,false,"(41.875706,",-87.673932)
Indiana,false,false,true,false,false,false,false,false,"(41.821732,",-87.621371)
Indiana,false,false,true,false,false,false,false,false,"(41.821732,",-87.621371)
IrvingPark,false,true,false,false,false,false,false,false,"(41.952925,",-87.729229)
IrvingPark,false,true,false,false,false,false,false,false,"(41.952925,",-87.729229)
IrvingPark,false,false,false,true,false,false,false,false,"(41.954521,",-87.674868)
IrvingPark,false,false,false,true,false,false,false,false,"(41.954521,",-87.674868)
Jackson,false,true,false,false,false,false,false,false,"(41.878183,",-87.629296)
Jackson,false,true,false,false,false,false,false,false,"(41.878183,",-87.629296)
Jackson,true,false,false,false,false,false,false,false,"(41.878153,",-87.627596)
Jackson,true,false,false,false,false,false,false,false,"(41.878153,",-87.627596)
Jarvis,true,false,false,false,false,false,false,false,"(42.015876,",-87.669092)
Jarvis,true,false,false,false,false,false,false,false,"(42.015876,",-87.669092)
Jefferson Park,false,true,false,false,false,false,false,false,"(41.970634,",-87.760892)
Jefferson Park,false,true,false,false,false,false,false,false,"(41.970634,",-87.760892)
Kedzie,false,false,false,false,false,false,false,true,"(41.804236,",-87.704406)
Kedzie,false,false,false,false,false,false,false,true,"(41.804236,",-87.704406)
Kedzie,false,false,false,false,false,false,true,false,"(41.853964,",-87.705408)
Kedzie,false,false,false,false,false,false,true,false,"(41.853964,",-87.705408)
